Longitude,Latitude,District,Year,Vehicle Type,Date,Hour,Road Type,Road Conditions,Red Light,Alcohol,Aggressive/Distracted Driving,Pedestrian,Cyclist,Automobile,Motorcycle,Truck
-79.366107,43.781909000000006,North York,2017,Motorcycle,2017-04-26T04:00:00.000Z,18,Major Arterial,Dry, , ,Yes, , ,Yes,Yes, 
-79.36806,43.680995,Toronto and East York,2017,Motorcycle,2017-07-08T04:00:00.000Z,20,Major Arterial,Dry, , , , , ,Yes,Yes, 
-79.49446400000001,43.781508,North York,2017, ,2017-10-31T04:00:00.000Z,22,Major Arterial,Other, , ,Yes, , ,Yes, , 
-79.37889399999999,43.667636,Toronto and East York,2017, ,2017-03-18T04:00:00.000Z,19,Major Arterial,Wet, , , ,Yes, ,Yes, , 
-79.542331,43.752016999999995,Etobicoke York,2017,"Automobile, Station Wagon",2017-01-25T05:00:00.000Z,14,Major Arterial,Wet,Yes, ,Yes, , ,Yes, ,Yes
-79.35718100000001,43.682852000000004,Toronto and East York,2017, ,2017-09-20T04:00:00.000Z,19,Minor Arterial,Dry, , , ,Yes, ,Yes, , 
-79.37382099999999,43.648543,Toronto and East York,2017, ,2017-12-15T05:00:00.000Z,12,Minor Arterial,Other, , ,Yes,Yes, , , ,Yes
-79.36725899999999,43.648974,Toronto and East York,2017, ,2017-01-03T05:00:00.000Z,7,Minor Arterial,Wet, , , ,Yes, ,Yes, , 
-79.274997,43.829547,Scarborough,2017, ,2017-09-28T04:00:00.000Z,21,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.560214,43.621218,Etobicoke York,2017,"Automobile, Station Wagon",2017-11-02T04:00:00.000Z,8,Minor Arterial, , , ,Yes, , ,Yes, , 
-79.27088499999999,43.687686,Scarborough,2017, ,2017-12-21T05:00:00.000Z,15,Major Arterial,Other,Yes,Yes,Yes,Yes, ,Yes, , 
-79.215762,43.760802000000005,Scarborough,2017, ,2017-07-22T04:00:00.000Z,23,Minor Arterial,Dry, , , ,Yes, ,Yes, , 
-79.322238,43.775355,Scarborough,2017,Passenger Van,2017-11-24T05:00:00.000Z,11,Major Arterial,Dry, , , ,Yes, ,Yes, ,Yes
-79.34798,43.755549,North York,2017, ,2017-10-04T04:00:00.000Z,23,Major Arterial,Dry, ,Yes, ,Yes, ,Yes, , 
-79.397403,43.651315999999994,Toronto and East York,2017, ,2017-04-14T04:00:00.000Z,18,Major Arterial,Dry, , , ,Yes, , , , 
-79.286601,43.751868,Scarborough,2017, ,2017-12-01T05:00:00.000Z,23,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.40326999999999,43.707171,North York,2017, ,2017-11-28T05:00:00.000Z,12,Collector,Dry, , ,Yes,Yes, ,Yes, , 
-79.194843,43.803004,Scarborough,2017,"Automobile, Station Wagon",2017-08-10T04:00:00.000Z,18,Major Arterial,Dry, , , , , ,Yes, , 
-79.312076,43.748763000000004,Scarborough,2017,"Automobile, Station Wagon",2017-08-24T04:00:00.000Z,23,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.30125699999999,43.763490999999995,Scarborough,2017, ,2017-09-27T04:00:00.000Z,21,Major Arterial,Dry, , ,Yes,Yes, ,Yes, , 
-79.447238,43.734515,North York,2017,Motorcycle,2017-05-08T04:00:00.000Z,18,Major Arterial,Dry, , ,Yes, , ,Yes,Yes, 
-79.44137099999999,43.635432,Toronto and East York,2017,Bicycle,2017-05-24T04:00:00.000Z,18,Expressway,Dry, , , , ,Yes, , , 
-79.260387,43.715674,Scarborough,2016, ,2016-06-17T04:00:00.000Z,3,Minor Arterial,Dry, , , ,Yes, ,Yes, , 
-79.246181,43.820227,Scarborough,2016, ,2016-03-31T04:00:00.000Z,21,Major Arterial,Wet, , , ,Yes, ,Yes, , 
-79.29066800000001,43.81116,Scarborough,2016, ,2016-12-13T05:00:00.000Z,14,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.4099,43.788653000000004,North York,2016,"Automobile, Station Wagon",2016-04-09T04:00:00.000Z,21,Minor Arterial,Dry,Yes, ,Yes, , ,Yes, , 
-79.435222,43.633078000000005,Toronto and East York,2016,"Automobile, Station Wagon",2016-10-31T04:00:00.000Z,2,Expressway,Dry, , ,Yes, , ,Yes, , 
-79.19795500000001,43.84878,Scarborough,2016,"Automobile, Station Wagon",2016-08-14T04:00:00.000Z,2,Minor Arterial,Dry, , ,Yes, , ,Yes, , 
-79.377147,43.711028000000006,North York,2016, ,2016-01-15T05:00:00.000Z,14,Major Arterial,Wet, , , ,Yes, ,Yes, , 
-79.33229399999999,43.738375,North York,2016,"Automobile, Station Wagon",2016-05-31T04:00:00.000Z,14,Expressway,Dry, , , , , ,Yes, ,Yes
-79.54156,43.593039000000005,Etobicoke York,2016,"Automobile, Station Wagon",2016-01-08T05:00:00.000Z,5,Major Arterial,Wet, , ,Yes, , ,Yes, , 
